,AOU,Common name
427,4590,Olive-sided Flycatcher
428,4600,Greater Pewee
429,4620,Western Wood-Pewee
430,4610,Eastern Wood-Pewee
431,4630,Yellow-bellied Flycatcher
432,4650,Acadian Flycatcher
433,4661,Alder Flycatcher
434,4660,Willow Flycatcher
435,4665,unid. Alder
436,4670,Least Flycatcher
437,4680,Hammond's Flycatcher
438,4691,Gray Flycatcher
439,4690,Dusky Flycatcher
440,4689,unid. Hammond's
441,4641,Pacific-slope Flycatcher
442,4640,Cordilleran Flycatcher
443,4642,unid. Cordilleran
444,4700,Buff-breasted Flycatcher
445,4679,unid. Empidonax
446,4580,Black Phoebe
447,4560,Eastern Phoebe
448,4570,Say's Phoebe
449,4710,Vermilion Flycatcher
450,6220,Loggerhead Shrike
451,6210,Northern Shrike
452,6300,Black-capped Vireo
453,6310,White-eyed Vireo
454,6330,Bell's Vireo
455,6340,Gray Vireo
456,6320,Hutton's Vireo
457,6280,Yellow-throated Vireo
458,6291,Cassin's Vireo
459,6290,Blue-headed Vireo
460,6295,unid. Cassin's
461,6292,Plumbeous Vireo
462,6296,unid. Plumbeous
463,6260,Philadelphia Vireo
464,6270,Warbling Vireo
465,6240,Red-eyed Vireo
466,6230,Black-whiskered Vireo
467,4840,Canada Jay
468,4830,Green Jay
469,4920,Pinyon Jay
470,4780,Steller's Jay
471,4770,Blue Jay
472,4790,Florida Scrub-Jay
473,4811,Island Scrub-Jay
474,4812,California Scrub-Jay
475,4813,Woodhouse's Scrub-Jay
476,4810,unid. California
477,4820,Mexican Jay
478,4910,Clark's Nutcracker
479,4750,Black-billed Magpie
480,4760,Yellow-billed Magpie
481,4880,American Crow
482,4890,(Northwestern Crow)
483,4900,Fish Crow
484,4881,unid. American
485,4882,unid. American
486,4870,Chihuahuan Raven
487,4860,Common Raven
488,4865,unid. Chihuahuan
489,4730,Eurasian Skylark
490,4740,Horned Lark
491,6160,Bank Swallow
492,6140,Tree Swallow
493,6150,Violet-green Swallow
494,6170,Northern Rough-winged
495,6110,Purple Martin
496,6130,Barn Swallow
497,6120,Cliff Swallow
498,6121,Cave Swallow
499,6122,unid. Cave
500,7360,Carolina Chickadee
501,7350,Black-capped Chickadee
502,7380,Mountain Chickadee
